Clube;Sigla
ACADEMIA DE VOLEIBOL COLÉGIO ATLÂNTICO;AVCA
ACADEMIA MATEUS NOGUEIRA;AMN
ACADEMIA VOLEIBOL PRAIA;AVP
ADRE PRAIENSE;ADRE
ALA NUN’ALVARES DE GONDOMAR;ANAG
ALA NUN’ALVARES GONDOMAR;ANAG
APE LOBATO;APEL
ARCA D´AJUDA;ARCA
ASSOCIAÇÃO ACADÉMICA DE ESPINHO;AAE
ASSOCIAÇÃO ACADÉMICA DE SÃO MAMEDE;AASM
ASSOCIAÇÃO AVENSE AA78;AA78
ASSOCIAÇÃO DE JOVENS DA FONTE BASTARDO;AJFB
ASSOCIAÇÃO DE JOVENS DA FONTE DO BASTARDO;AJFB
ASSOCIAÇÃO DE VOLEIBOL DA ESCOLA B. SEC. GAMA BARROS;AVEGS
ASSOCIAÇÃO DESPORTIVA DE MACHICO;ADM
ASSOCIAÇÃO DESPORTIVA MARISTA;ADM
ASSOCIAÇÃO DOS ANTIGOS ALUNOS;AAA
ASSOCIAÇÃO RUÍNAS VOLLEY CLUBE;ARVC
BOAVISTA FUTEBOL CLUBE;BFC
CASCAIS VOLLEY4ALL;CV4A
CASTELO DA MAIA GINÁSIO CLUBE;CMGC
CASTELO MAIA GINÁSIO CLUBE;CMGC
CD ALVERCA VOLEI;CDAV
CD INTERNACIONAL VÓLEI AÇORES;CDIVA
CENTRO DE VOLEIBOL DE LISBOA;CVL
CLUB SPORT MARÍTIMO;CSM
CLUBE ATLÂNTICO DA MADALENA;CAM
CLUBE ATLÉTICO DE RABO DE PEIXE;CARP
CLUBE DE FUTEBOL “OS BELENENSES”;CFB
CLUBE DE FUTEBOL CARVALHEIRO;CFC
CLUBE DESPORTIVO “OS MARIENSES”;CDOM
CLUBE DESPORTIVO COLÉGIO MINERVA;CDCM
CLUBE DESPORTIVO DE FIÃES;CDF
CLUBE DESPORTIVO MARISTA DE CARCAVELOS;CDMCC
CLUBE ESCOLA DA LEVADA;CEL
CLUBE JUVENIL DE VOLEIBOL FILIPA DE LENCASTRE;CJVVFL
CLUBE KAIRÓS;CK
CLUBE NACIONAL DE GINÁSTICA;CNG
CLUBE NACIONAL GINÁSTICA;CNG
CLUBE PLAYSPORTS;CP
CLUBE RECREATIVO PIEDENSE;CRP
CLUBE SPORT MARÍTIMO;CSM
CLUBE SPORTS MADEIRA;CSM
CLUBE VOLEIBOL DE OEIRAS;CVO
COLÉGIO PEDRO ARRUPE;CPA
COLÉGIO SALESIANOS DE LISBOA – OFICINA S. JOSÉ;CSL-OSSJ
COLÉGIO SÃO JOÃO DE BRITO;CSJB
DUMIENSE FUTEBOL CLUBE;DFC
ESMORIZ GINÁSIO CLUBE;EGC
FAMÕES CLUBE ATLÉTICO;FCA
FUTEBOL CLUBE DA CALHETA;FCC
FUTEBOL CLUBE DO PORTO;FCP
GD ESTORIL PRAIA;GDEP
GD SESIMBRA;GDSES
GINÁSIO CLUBE DE SANTO TIRSO;GCST
GINÁSIO CLUBE PORTUGUÊS;GCP
GINÁSIO CLUBE VILACONDENSE;GCV
GRUPO DESPORTIVO CULTURAL DE GUEIFÃES;GDCG
GRUPO DRAMÁTICO E SPORTIVO DE CASCAIS;GDSEC
GRUPO REC. CULTURAL DO BOM RETIRO;GRCBR
GRUPO UNIÃO RECREATIVO E DESPORTIVO "MTBA";GURDDMTBA
HENRIQUES NOGUEIRA VOLEIBOL;HNV
JUVENTUDE SPORT CLUBE;JSC
LEIXÕES SPORT CLUBE;LSC
LOBATOS VOLLEY;LV
LUSÓFONA VOLEIBOL CLUBE;LVC
MADEIRA TORRES;MT
ODIVELAS SPORTS CLUB;OSC
PIONEIROS NUCLEO BASKET DE LOURES;PNBL
PV2014 / COLÉGIO EFANOR;PV2014/CE
PV2014/COLÉGIO EFANOR;PV2014/CE
REAL CLUBE VALE DE CAVALA;RCVC
SALESIANOS DO ESTORIL;SE
SANTA CRUZ SPORT CLUB;SCSC
SINTRA VOLEI;SV
SPORT LISBOA E BENFICA;SLB
SPORTING CLUBE DAS CALDAS;SCC
SPORTING CLUBE DE BRAGA;SCB
SPORTING CLUBE DE ESPINHO;SCE
SPORTING CLUBE DE PORTUGAL;SCP
SPORTING CLUBE DE TORRES;SCT
SPORTING CP;SCP
TÉNIS CLUBE DE ALCOCHETE;TCA
UNIDOS POR SI;UPS
VITÓRIA SPORT CLUBE;VSC
VOLEI CLUBE DE SETÚBAL 1990;VCS1990
VOLEIBOL CLUBE DE VIANA;VCV















































