Clube;Localização;Email;Email 2:;Telemovel;Telemóvel 2:;Telefone
ACADEMIA DE VOLEIBOL COLÉGIO ATLÂNTICO;Pinhal dos Frades, Seixal;atlantico.voleibol@gmail.com;;969 050 025;;
ACADEMIA MATEUS NOGUEIRA;Laranjeiro, Almada;joao.mateus@academiamateusnogueira.pt;;912 420 931;;
ACADEMIA VOLEIBOL PRAIA;Setúbal;avpraia.setubal@gmail.com;;918 629 282;;
APE LOBATO;Seixal;lobatos.voleibol@gmail.com;;;;
ASSOCIAÇÃO DE VOLEIBOL DA ESCOLA B. SEC. GAMA BARROS;Cacém;gbv.contactos@gmail.com;;968 558 811;;
ASSOCIAÇÃO DESPORTIVA MARISTA;Alto dos Moinhos, Benfica;admsecretaria@ext.marista-lisboa.org;;;;
CASCAIS VOLLEY4ALL;Cascais;info@volley4all.com;;964 415 632;;
CD ALVERCA VOLEI;Alverca;alverca.volei@gmail.com;;;;
CENTRO DE VOLEIBOL DE LISBOA;Alvalade;geral@cvl.pt;;;;
CF BELENENSES;Restelo;voleibol@osbelenenses.pt;;910068126;;
CLUBE COL GUADALUPE;;volei.guadalupe@c-guadalupe.com;;;;
CLUBE DESPORTIVO COLÉGIO MINERVA;Barreiro;secretaria@minerva.pt;;936 450 589;;212 154 541
CLUBE DESPORTIVO MARISTA DE CARCAVELOS;Parede, Oeiras;coordenadordesporto@marista-carcavelos.org;;938 542 993;966 101 333;
CLUBE JUVENIL DE VOLEIBOL FILIPA DE LENCASTRE;Arco do Cego;filipalencastrevolei@gmail.com;;966 441 033;;
CLUBE NACIONAL DE GINÁSTICA;Parede, Oeiras;geral@cng.pt;;;;214 571 010
CLUBE RECREATIVO PIEDENSE;Cova da Piedade, Almada;crpvoleibolcris@gmail.com;;;;212 765 680
CLUBE VOLEIBOL DE OEIRAS;Oeiras;geral@voleiboloeiras.com;;931 715 155;;
COLÉGIO PEDRO ARRUPE;Parque das Nações;voleibol.cpa@gmail.com;;;;
COLÉGIO SALESIANOS DE LISBOA – OFICINA S. JOSÉ;Campo de Ourique;rui.moura@salesianos.pt;;916 291 253;;
COLÉGIO SÃO JOÃO DE BRITO;Lumiar;geral@csjb.pt;;;;217 519 000
FAMÕES CLUBE ATLÉTICO;Famões, Odivelas;voleibol.famoesca@gmail.com;;966 242 715;;
GD SESIMBRA;Sesimbra;grupodesportivosesimbra@gmail.com;;;;
GINÁSIO CLUBE PORTUGUÊS;Amoreiras;filomenapalma@gcp.pt;;963 885 540;;
GRUPO DRAMÁTICO E SPORTIVO DE CASCAIS;Pavilhão Guilherme Pinto Basto;voleibol@dramatico-cascais.com;;214 864 012;;
GRUPO REC. CULTURAL DO BOM RETIRO;Vila Franca de Xira;grcbomretiro.direcao@gmail.com;;964 317 111;;
"GRUPO UNIÃO RECREATIVO E DESPORTIVO ""MTBA""";Magoito;grupomtba@gmail.com;;961 948 913;;
LOBATOS VOLLEY;;lobatos.voleibol@gmail.com;;;;
LUSÓFONA VC;Campo Grande;lusofonavoleibol@ulusofona.pt;;;;
MADEIRA TORRES;Esc. Sec. Madeira Torres, Torres Vedras;mtvoleibol@gmail.com;carlos.capela@sapo.pt;962 793 343;;
ODIVELAS SPORTS CLUB;Ramada, Odivelas;voleibolocsc@gmail.com;;932 140 747;;
ODIVELAS VOLEIBOL CLUBE;Odivelas;geral@odivelasvoleibolclube.pt;formacao@odivelasvoleibolclube.pt;910 569 568;;
SALESIANOS DO ESTORIL;Estoril;helder.marcos@estoril.salesianos.pt;;;;
SINTRA VOLEI;Terrugem, Sintra;geral@sintravolei.com;964 428 125;;;
SPORT LISBOA E BENFICA;Lisboa;operacoes.modalidades@slbenfica.pt;;;;
SPORTING CLUBE DE TORRES;Torres Vedras;geral@sportingtorres.pt;261 321 052;;;
SPORTING CP;Lisboa;voleibol@sporting.pt;;;;
VOLEI CLUBE DE SETÚBAL 1990;São Sebastião, Setúbal;vcsetubal1990@gmail.com;938 630 269;;;
