Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
500;04/02/2023;15:00;NSFII;;CNGINAS - STTIRSO;COMPLEXO CNG;ALEXANDRE RIBEIRO;RUI REIS;;
1431;05/02/2023;17:00;NSFIII;PS;OSC - FAMÕES;ESC SEC BRAAMCAMP FREIRE;ALEXANDRE RIBEIRO;;;
55;04/02/2023;15:00;CRINICM;ÚNICA;SL_BENFICA - CN_GINASTICA;PAV Nº2 LUZ;ANDRÉ CARVALHO;;;
25;04/02/2023;18:30;CRINFM;ÚNICA;SL_BENFICA - SPORTING_CP;PAV Nº2 LUZ;ANDRÉ CARVALHO;;;
494;05/02/2023;15:00;NSFII;;LUSOFVC - SMAMEDE;PAV PROFESSOR TEOTÓNIO LIMA;ANDRE CORREIA;MARIA FERREIRA;;
1112;04/02/2023;17:00;CNJBF;2ªF - SP;AV_ATLÂNTICO - SC_BRAGA;COL ATLÂNTICO;ANDRÉ CORREIA;;;
1320;04/02/2023;19:00;NSMIII;PS;AV_ATLA - JUVE SC;COL ATLÂNTICO;ANDRÉ CORREIA;;;
1221;05/02/2023;19:00;CNJBF;2ªF - SU;AD_MARISTA - FAMÕES_CA;EXTERNATO MARISTAS LISBOA;ANDRÉ CORREIA;;;
570;06/02/2023;21:00;CNJB1M;ÚNICA;CV_OEIRAS - SL_BENFICA;PAV MUN SÃO JULIÃO DA BARRA;ANDRÉ CORREIA;;;
901;04/02/2023;17:00;CRFINI;2ªF - A;LVC A - CSJB B;PAV PROFESSOR TEOTÓNIO LIMA;BRUNO SILVA;;;
1097;04/02/2023;19:00;CRFJUV;2ªF - A;LVC - ESMT;PAV PROFESSOR TEOTÓNIO LIMA;BRUNO SILVA;;;
876;04/02/2023;17:00;CRFINF;2ªF - D;VCS - ESMT B;PAV MUN ARANGUEZ;CARLOS SILVA;;;
1317;04/02/2023;19:00;NSMIII;PS;VC_SETU - SAOF_AD;PAV MUN ARANGUEZ;CARLOS SILVA;;;
1085;05/02/2023;15:00;CRFCAD;2ªF - D;CNG - CVL;COMPLEXO CNG;CARLOS SILVA;;;
183;04/02/2023;15:00;CRMJUV;ÚNICA;AM_NOGUEIRA - CN_GINÁSTICA;ESC SEC DANIEL SAMPAIO;CARLOTA BRAGA;;;
994;05/02/2023;09:00;CRFINI;2ªF - D;CRP - CSJB A;PAV CR PIEDENSE;CARLOTA BRAGA;;;
1045;05/02/2023;11:00;CRFCAD;2ªF - A;CRP - CSJB;PAV CR PIEDENSE;CARLOTA BRAGA;;;
1022;04/02/2023;11:00;CRFINI;2ªF - E;SCP A - RCS;MULTIDESPORTIVO DO SCP;CAROLINA TAVARES;;;
992;04/02/2023;13:00;CRFINI;2ªF - D;SCP B - EP B;MULTIDESPORTIVO DO SCP;CAROLINA TAVARES;;;
873;05/02/2023;11:30;CRFINF;2ªF - D;FCA B - CRP;ESC SEC CANEÇAS;CAROLINA TAVARES;;;
1171;05/02/2023;17:00;CRFJUN;2ªF - A;MADEIRA_TORRES - SPORTING_CP;ESC SEC MADEIRA TORRES;CATARINA PEREIRA;;;
