PAVILHAO;CONCELHO
ALTO DOS MOINHOS - TERRUGEM;SINTRA
COL AMOR DE DEUS;LISBOA
COL ATLANTICO;LISBOA
COL MARISTAS CARCAVELOS;CASCAIS
COL MARISTAS DE CARCAVELOS;CASCAIS
COL PEDRO ARRUPE;LISBOA
COL SAO JOAO BRITO;LISBOA
COL SAO JOAO DE BRITO;LISBOA
COLEGIO AMOR DE DEUS;LISBOA
COLEGIO ATLANTICO;LISBOA
COLEGIO PEDRO ARRUPE;LISBOA
COLEGIO SAO JOAO DE BRITO;LISBOA
COMP DESP VITORINO NEMESIO;LISBOA
COMPLEXO CNG;LISBOA
COMPLEXO DESP CNAC GINASTICA;LISBOA
EB 2/3 ALTO DOS MOINHOS;LISBOA
EB 2/3 D CARLOS I;SINTRA
EB 2/3 MOINHOS DA ARROJA;ODIVELAS
EB ALFREDO DA SILVA - RIO DE MOURO;SINTRA
EB BARTOLOMEU DIAS;CASCAIS
EB CARLOS PAREDES;CASCAIS
EB FERNANDO PESSOA;CASCAIS
EB SOPHIA MELLO BREYNER;SINTRA
EB2/3 ALTO DOS MOINHOS;LISBOA
EB2/3 ALTO DOS MOINHOS - TERRUGEM;SINTRA
EB2/3 D CARLOS I;SINTRA
EB2/3 MOINHOS DA ARROJA;ODIVELAS
EBS CIDADELA;CASCAIS
ES CANECAS;ODIVELAS
ES GAMA BARROS - CACEM;SINTRA
ESC 2/3 D CARLOS I;SINTRA
ESC ALTO DOS MOINHOS - TERRUGEM;SINTRA
ESC ANTONIO AUGUSTO LOURO;LISBOA
ESC BAS CARLOS PAREDES;CASCAIS
ESC BI SOPHIA MELLO BREYNER;SINTRA
ESC CAMILO CASTELO BRANCO;LISBOA
ESC FILIPA DE LENCASTRE;LISBOA
ESC FILIPA LENCASTRE;LISBOA
ESC FRANCISCO ARRUDA;LISBOA
ESC GAGO COUTINHO;LISBOA
ESC GAMA BARROS - CACEM;SINTRA
ESC GENERAL HUMBERTO DELGADO;SINTRA
ESC JOAO GONCALVES ZARCO - ALGES;LISBOA
ESC JOSE CARDOSO PIRES;CASCAIS
ESC JOSEFA DE OBIDOS;LISBOA
ESC PEDRO EANES LOBATO;SINTRA
ESC POLIVALENTE CASCAIS;CASCAIS
ESC POLIVALENTE DE CASCAIS;CASCAIS
ESC S GONCALO - TORRES VEDRAS;TORRES VEDRAS
ESC SAO GONCALO;TORRES VEDRAS
ESC SEC BRAACAMP FREIRE;LISBOA
ESC SEC CAMILO CASTELO BRANCO;LISBOA
ESC SEC CANECAS;CASCAIS
ESC SEC CARLOS PAREDES;CASCAIS
ESC SEC CASCAIS;CASCAIS
ESC SEC DANIEL SAMPAIO;SINTRA
