Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
2859;29/04/2023;18:00;CNMJUN;FF;SPORTING_CP - CD_MARIENSES;COMPLEXO CNG;JORGE REIS;SERGIO PEREIRA;DANIEL FERNANDES;
1889;29/04/2023;15:00;CNJUVF;D;LVC - SV;PAV. PROF. TEOTÓNIO LIMA;MARIA FERREIRA;;;
2801;01/05/2023;15:00;CNMJUNB1;SU;CVO - ALA;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
1426;01/05/2023;15:00;TAP JUV F;;gdsc - cvo;PAV. GUILHERME PINTO BASTO;GONÇALO RAMOS;;;
2509;01/05/2023;15:00;CNFINI;D;SV - CNG;EB2/3 ALTO DOS MOINHOS;PEDRO MOUTA;;;
2692;01/05/2023;15:00;CNMINF;C;GBV - SLB;ESC. SEC. GAMA BARROS;SAMUEL PATRÃO;;;
2110;06/05/2023;16:00;NSFII;U;CRPIEDE - LUSOFVC;PAV. CR PIEDENSE;ANDRÉ CORREIA;CATARINA RODRIGUES;;
2109;06/05/2023;16:00;NSFII;U;CNGINAS - VIAN VC;COMPLEXO CNG;CARLOS SILVA;ALEXANDRE RIBEIRO;;
1359;06/05/2023;18:00;TAP JUNIOR;B;CNG - CPA;COMPLEXO CNG;CARLOS SILVA;;;
1862;06/05/2023;18:00;CNJUVF;C;CSJB - JAC;COL. SÃO JOÃO DE BRITO;CARLOTA BRAGA;;;
1863;06/05/2023;18:00;CNJUVF;C;SCP - V4A;MULTIDESPORTIVO SCP;CAROLINA TAVARES;;;
2694;06/05/2023;20:00;CNMINF;C;SCP - GBV;MULTIDESPORTIVO SCP;CAROLINA TAVARES;;;
2508;06/05/2023;17:00;CNFINI;D;LVC - SCP;PAV. PROF. TEOTÓNIO LIMA;DANIEL BORGA;;;
2807;06/05/2023;15:00;CNMJUNB1;SU;CVO - CASTELO;PAV. MUN. SÃO JULIÃO DA BARRA;DANIEL FERNANDES;;;
2381;06/05/2023;17:00;CNMINI;C;CVO - SCC;PAV. MUN. SÃO JULIÃO DA BARRA;MADALENA PAIS;;;
2108;06/05/2023;20:30;NSFII;U;CFBELEN - STTIRSO;PAV. ACÁCIO ROSA;MARIA FERREIRA;JORGE REIS;;
2382;06/05/2023;17:00;CNMINI;C;SLB - SCP;ESC. GENERAL HUMBERTO DELGADO;MARIANA CASTRO;;;
2062;06/05/2023;19:00;TAP SENIIIF;1ª FASE;FCA - AMN;ESC. SEC. BRAAMCAAMP FREIRE;MICHELLE FERREIRA;;;
1893;06/05/2023;17:00;CNJUVF;D;MT - LVC;ESC. SEC. MADEIRA TORRES;PAULO DUQUE;;;
1892;06/05/2023;15:00;CNJUVF;D;SV - MVC;ALTO DOS MOINHOS - TERRUGEM;PEDRO MOUTA;;;
1972;06/05/2023;10:00;TAP INIC F;2ªFASE;CFB B - CRP;PAV. MESQUITA DE LISBOA;RODRIGO ANDRADE;;;
1971;06/05/2023;12:00;TAP INIC F;2ªFASE;CFB A - SV;PAV. MESQUITA DE LISBOA;RODRIGO ANDRADE;;;
1338;06/05/2023;15:00;TAP JUNIOR;A;CFB - AMN;PAV. MESQUITA DE LISBOA;RUI CASTANHEIRA;;;
2177;06/05/2023;17:00;CNMCAD;C;VCS - SLB;PAV. MUN. ARANGUÊS;SANDRA BENTES;;;
2877;06/05/2023;21:30;NSMI;#12V.TF;SCPORT. - ESMO GC;PAV. JOÃO ROCHA - LISBOA;SOFIA COSTA;SERGIO PEREIRA;CATARINA RODRIGUES;HUGO CRUZ;
2843;06/05/2023;17:30;NSMI;#3;SLBENFI - AJFB;PAV. Nº2 - ESTÁDIO SLB;VITOR GONÇALVES;JOSÉ CARAMEZ;NICOLE SOUSA;HUGO CRUZ;
2487;07/05/2023;16:00;CNFINI;C;EP - CSJB;COL. AMOR DE DEUS;AFONSO GONÇALVES;;;
2630;07/05/2023;15:00;CNFINF;D;SCP - LOUSÃ_VC;MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
2687;07/05/2023;17:00;CNMINF;C;SCP - SOM;MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
2887;07/05/2023;12:00;NSFIII;T.FPV;OEIRAS - MARINHE;EB. SOPHIA MELLO BREYNER;ANDRÉ CORREIA;CARLOS SILVA;;
2056;07/05/2023;16:00;TAP SENIIIF;1ª FASE;EFL . CVL;ESC. FILIPA LENCASTRE;ANDRÉ CORREIA;;;
1992;07/05/2023;15:00;CNJUVM;D ;AVA - SCC;COL. ATLÂNTICO;CARLOTA BRAGA;;;
2314;07/05/2023;19:00;CNFCAD;D;CFB - CRP;PAV. ACÁCIO ROSA;CAROLINA TAVARES;;;
1438;07/05/2023;10:00;TAP JUV F;;CPA - AVP;COL. PEDRO ARRUPE;CATARINA PEREIRA;;;
2113;07/05/2023;16:00;NSFII;U;CNGINAS - STTIRSO;COMPLEXO CNG;DANIEL FERNANDES;CARLOS SILVA;;
2507;07/05/2023;18:00;CNFINI;D;CNG - CVO;COMPLEXO CNG;DANIEL FERNANDES;;;
1714;07/05/2023;11:00;TAP CAD F;2ªFASE;GDSC - CNG;PAV. GUILHERME PINTO BASTO;GABRIELA RODRIGUES;;;
1423;07/05/2023;15:30;TAP JUV F;;CVO - ADM A;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
2810;07/05/2023;17:30;CNMJUNB1;SU;CVO - AMARES;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
1991;07/05/2023;15:00;CNJUVM;D ;CVL - MTBA;ESC. SEC. CAMILO CASTELO BRANCO;ION ANDRUSENCO;;;
1361;07/05/2023;18:00;TAP JUNIOR;B;CVL - SCT;ESC. SEC. CAMILO CASTELO BRANCO;ION ANDRUSENCO;;;
