Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
124;29/10/2022;17:30;NSFI;A;SPORT_CP - CS_MADEIRA;PAV. JOÃO ROCHA;ALEXANDRE RIBEIRO;DANIEL FERNANDES;AndrÉ Carvalho;Diogo Silva;
1240;29/10/2022;15:00;CRSFIII;A;CV_LISBOA - ODIVELAS_SC;ESC. SOPHIA MELLO BREYNER;ANDRÉ CORREIA;;;
124;29/10/2022;18:00;CRJUVM;ÚNICA;MTBA - AM_NOGUEIRA;PAV. GRUPO MTBA;ÂNGELO FERNANDES;;;
193;29/10/2022;17:00;CRJUNM;ÚNICA;ODIVELAS_SC - VC_SETUBAL;ESC. SEC. BRAAMCAMP FREIRE;CARLOS SILVA;;;
551;29/10/2022;15:00;CRCADF;D;AM_NOGUEIRA - MTBA;ESC. SEC. DANIEL SAMPAIO;CARLOTA BRAGA;;;
650;29/10/2022;17:00;CRJUVF;D;AM_NOGUEIRA - CSJ_BRITO;ESC. SEC. DANIEL SAMPAIO;CARLOTA BRAGA;;;
1;29/10/2022;11:00;CRINFM;ÚNICA;GAMA_BARROS V - SPORTING_CP;ESC. GAMA BARROS - CACÉM;CATARINA PEREIRA;;;
449;29/10/2022;11:30;CRINICF;E;SINTRA VOLEI “B” – CSJ BRITO “A”;PAV. ALTO DOS MOINHOS - TERRUGEM;CLARA OLARU;;;
25;29/10/2022;20:00;NSMI;A;SPORT_CP - AASMAMEDE;PAV. JOÃO ROCHA;DANIEL FERNANDES;ALEXANDRE RIBEIRO;AndrÉ Carvalho;Diogo Silva;
310;29/10/2022;15:00;CRINFF;D;GDS_CASCAIS - CN_GINÁSTICA;PAV. GUILHERME PINTO BASTO - GDSC;GABRIELA SANTOS;;;
488;29/10/2022;17:00;CRCADF;A;GDS_CASCAIS - CSJ_BRITO;PAV. GUILHERME PINTO BASTO - GDSC;GABRIELA SANTOS;;;
550;29/10/2022;17:00;CRCADF;D;VC_SETUBAL - CR_PIEDENSE;PAV. MUN. ARANGUEZ;GONÇALO MONTEIRO;;;
1217;29/10/2022;19:00;CRSMIII;ÚNICA;VC_SETUBAL - FAMÕES_CA;PAV. MUN. ARANGUEZ;GONÇALO MONTEIRO;;;
68;29/10/2022;11:00;CRCADM;ÚNICA;CV_OEIRAS - VC_SETÚBAL;PAV. MUN. SÃO JULIÃO DA BARRA;GONÇALO RAMOS;;;
33;29/10/2022;15:00;CRINICM;ÚNICA;CV_OEIRAS - SC_CALDAS;PAV. MUN. SÃO JULIÃO DA BARRA;GONÇALO RAMOS;;;
2;29/10/2022;17:00;CRINFM;ÚNICA;CV_OEIRAS - SL_BENFICA;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
194;29/10/2022;19:00;CRJUNM;ÚNICA;CV_OEIRAS - SPORTING_CP;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
578;29/10/2022;15:00;CRJUVF;A;CP_ARRUPE - SL_BENFICA;COL. PEDRO ARRUPE;JORGE REIS;;;
671;29/10/2022;19:00;TPF - PE;;FAMOES_CA - CV_OEIRAS;ESC. SEC. BRAAMCAMP FREIRE;JORGE REIS;CARLOS SILVA;;
195;29/10/2022;17:00;CRJUNM;ÚNICA;CV_LISBOA - CN_GINÁSTICA;ESC. SEC. CAMILO CASTELO BRANCO;MARIA FERREIRA;;;
123;29/10/2022;15:00;CRJUVM;ÚNICA;AV_ATLÂNTICO - CN_GINASTICA;COLÉGIO ATLÂNTICO;MICHELLE FERREIRA;;;
1216;29/10/2022;17:00;CRSMIII;ÚNICA;AV_ATLÂNTICO - GD_SESIMBRA;COLÉGIO ATLÂNTICO;MICHELLE FERREIRA;;;
24;29/10/2022;19:00;NSMI;A;SL_BENFICA - SC_ESPINHO;PAV. Nº2 - LUZ;RUI REIS;PEDRO PINTO;Ion Andrusenco;Catarina Rodrigues;
388;30/10/2022;10:00;CRINICF;B;"SPORTING_CP ""B"" - CN_GINÁSTICA";PAV. JOÃO ROCHA;ANDRÉ CARVALHO;;;
31;30/10/2022;12:00;CRINICM;ÚNICA;SPORTING_CP - CN_GINÁSTICA;PAV. JOÃO ROCHA;ANDRÉ CARVALHO;;;
402;30/10/2022;16:00;NSFII;A;LUSOFONA_VC - ALA_GOND;PAV. PROF. TEOTÓNIO LIMA;ANDRÉ CORREIA;MICHELLE FERREIRA;;
1239;30/10/2022;19:00;CRSFIII;A;FAMOES_CA - CV_OEIRAS;ESC. SEC. BRAAMCAMP FREIRE;CARLOS SILVA;;;
515;30/10/2022;16:00;CNJB1M;ÚNICA;SL_BENFICA - SC_ESPINHO;PAV. 1 - EST. UNIVERSITÁRIO;CARLOS SILVA;;;
340;30/10/2022;10:00;CRINFF;E;"LUSÓFONA_VC ""B"" - ES_MAD.TORRES ""B""";PAV. PROF. TEOTÓNIO LIMA;CARLOTA BRAGA;;;
309;30/10/2022;12:00;CRINFF;D;"LUSÓFONA_VC ""A"" - FAMÕES_CA ""B""";PAV. PROF. TEOTÓNIO LIMA;CARLOTA BRAGA;;;
67;30/10/2022;11:00;CRCADM;ÚNICA;SL_BENFICA - SPORTING_CP;ESC. GENERAL HUMBERTO DELGADO;CATARINA PEREIRA;;;
127;30/10/2022;15:00;CRJUVM;ÚNICA;AV_ATLÂNTICO - CV_LISBOA;COLÉGIO ATLÂNTICO;CATARINA RODRIGUES;;;
549;30/10/2022;17:00;CRCADF;D;AV_ATLÂNTICO - LOBATOS_V;COLÉGIO ATLÂNTICO;CATARINA RODRIGUES;;;
699;30/10/2022;15:30;CRJUNF;B;CP_ARRUPE - CSJ_BRITO;COL. PEDRO ARRUPE;DANIEL FERNANDES;;;
1241;30/10/2022;18:00;CRSFIII;A;CP_ARRUPE - EF_LENCASTRE;COL. PEDRO ARRUPE;DANIEL FERNANDES;;;
1269;30/10/2022;18:00;CRSFIII;B;SALES_LISB - AM_NOGUEIRA;SALESIANOS DE LISBOA;DIOGO SILVA;;;
751;30/10/2022;15:00;CRJUNF;D;EF_LENCASTRE - CV_LISBOA;ESC. FILIPA LENCASTRE;GABRIELA RODRIGUES;;;
619;30/10/2022;15:00;CRJUVF;C;SALES_ESTORIL - V4ALL;SALESIANOS ESTORIL;GONÇALO RAMOS;;;
514;30/10/2022;16:00;CNJB1M;ÚNICA;CV_OEIRAS - ALA_GOND;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
598;30/10/2022;15:00;CRJUVF;B;ODIVELAS_SC - SINTRA_VOLEI;ESC. SEC. BRAAMCAMP FREIRE;ION ANDRUSENCO;;;
128;30/10/2022;17:00;CRJUVM;ÚNICA;ODIVELAS_SC - AM_NOGUEIRA;ESC. SEC. BRAAMCAMP FREIRE;ION ANDRUSENCO;;;
777;30/10/2022;11:00;CNJNBF;B;CR_PIEDENSE - AV_ATLÂNTICO;PAV. CR PIEDENSE;JORGE REIS;;;
