Jogo,Dia,Hora,Prova,Série,Equipas,Pavilhão,1º Árbitro,2º Árbitro,JL,JL,JL,JL
2523,30/04/2022,15:00,CNMINIC,C,SPORTCP - LOUSÃ,PAV. MULTID. SPORTING CP,Afonso Gonçalves,,,,,
1524,01/05/2022,11:00,JUV F,TPAP,MTBA - FCA,Pav. Grupo MTBA,Afonso Gonçalves,,,,,
2148,30/04/2022,15:00,CNFJuv,C,LUSOFVC - ASINTRA,PAV. PROF.TEOTONIO LIMA,André Carvalho,,,,,
1695,01/05/2022,11:00,CNFINIC,C,LUSOFVC- SPORTCP,PAV. PROF.TEOTONIO LIMA,André Carvalho,,,,,
2059,01/05/2022,17:00,CNMJuv,D,SCPORT. - CNGINAS,PAV. MULTID. SPORTING CP,André Carvalho,,,,,
2178,30/04/2022,15:00,CNFJuv,D,SCPORT. - SLBENFI,PAV. MULTID. SPORTING CP,André Correia,,,,,
1526,01/05/2022,18:00,JUV F,TPAP,"CFB ""B"" - EFL",PAV. ACACIO ROSA- RESTELO,André Correia,,,,,
1375,30/04/2022,18:00,NSMIII,SP,VC_SETU - ODIVELA,PAV. MUN. ARANGUÊS,Bruno Silva,,,,,
1523,01/05/2022,16:00,JUV F,TPAP,"VCS - CFB ""A""",PAV. MUN. ARANGUÊS,Bruno Silva,,,,,
1966,30/04/2022,17:00,NSMII,U,C VOLEI - MARINHE,PAV. ESC. BI SOPHIA MELLO BREYNER,CARLOS SILVA,SOFIA COSTA,,,,
1488,01/05/2022,17:00,NSFIII,SP,LOBAVOL - OEIRAS,PAV.ESCOLAR PEDRO EANES LOBATO,CARLOS SILVA,,,,,
2301,01/05/2022,15:00,CNFJUN,D,LOBAVOL - SCPORT.,PAV.ESCOLAR PEDRO EANES LOBATO,Carlos Silva,,,,,
1596,30/04/2022,19:00,JUNF,TPAP,AMN - GCP,PAV.ESC. SEC. ANTÓNIO GEDEÃO,Catarina Pereira,,,,,
1153,30/04/2022,17:00,CNMJUN,B,AMATEUS - SLBENFI,PAV.ESC. SEC. ANTÓNIO GEDEÃO,Catarina Pereira,,,,,
2060,01/05/2022,11:00,CNMJuv,D,AV_ATLA - OEIRAS,PAV COL ATLÂNTICO,Catarina Rodrigues,,,,,
2056,30/04/2022,17:00,CNMJuv,D,CNGINAS - AV_ATLA,COMPLEXO DESP.C.NAC. GINASTICA,Clara Olaru,,,,,
1797,30/04/2022,17:00,CNFCad,D,SLBENFI - CDALVER,PAV. ESC. JOSÉ CARDOSO PIRES,Daniel Borga,,,,,
2463,30/04/2022,19:00,CNMINF,C,SLBENF - SPORTCP,PAV. ESC. JOSÉ CARDOSO PIRES,Daniel Borga,,,,,
2653,30/04/2022,15:00,NSMIII,Trofeu FPV,GAMA BA - CDPATAI,PAV. GAMA BARROS - CACEM,Daniel Fernandes,,,,,
1376,01/05/2022,19:00,NSMIII,SP,C VOLEI - FAMOES,PAVILHÃO MUNICIPAL DE ALVALADE,DANIEL FERNANDES,,,,,
2057,30/04/2022,17:00,CNMJuv,D,OEIRAS - C VOLEI,MUN. S. JULIÃO DA BARRA-OEIRAS,Diogo Silva,,,,,
2524,30/04/2022,11:00,CNMINIC,C,CVOEIRAS - CNGINÁST,MUN. S. JULIÃO DA BARRA-OEIRAS,Gabriela Rodrigues,,,,,
2058,01/05/2022,17:00,CNMJuv,D,SLBENFI - VC_SETU,PAV. ESC. JOSÉ CARDOSO PIRES,Gabriela Rodrigues,,,,,
2272,01/05/2022,15:00,CNFJUN,C,SLBENFI - BEACH_S,PAV. ESC. JOSÉ CARDOSO PIRES,Gabriela Rodrigues,,,,,
1525,30/04/2022,15:00,JUV F,TPAP,GCP - SCT,Esc. Sec. Pedro Nunes,Henrique Lopes,,,,,
2525,01/05/2022,15:00,CNMINIC,C,SCTORRES - GBV,PAV. SCTORRES,Henrique Lopes,,,,,
2273,01/05/2022,15:00,CNFJUN,C,AV_ATLA - LUSOFVC,PAV COL ATLÂNTICO,Hugo Cruz,,,,,
2271,30/04/2022,15:00,CNFJUN,C,VOL4ALL - SJBRITO,PAV.ESC.SEC.CASCAIS POLIVALENT,Madalena Ralha,,,,,
1489,01/05/2022,17:00,NSFIII,SP,CSALES - CONDEIX,PAV.COLÉGIO SALESIANOS -LISBOA,MADALENA RALHA,,,,,
1915,01/05/2022,15:00,NSFII,U,CFBELEN - STTIRSO,PAV. ACACIO ROSA- RESTELO,MAFALDA BENTO,ANDRE CORREIA,,,,
2149,01/05/2022,18:00,CNFJuv,C,CRPIEDE - AV_ATLA,PAV. DO C.R. PIEDENSE,Marta Ralha,,,,,
2179,30/04/2022,17:00,CNFJuv,D,OEIRAS - MTORRES,MUN. S. JULIÃO DA BARRA-OEIRAS,Michelle Ferreira,,,,,
1573,30/04/2022,15:00,CNFInf,D,SLBENFI - VOL4ALL,PAV. ESC. JOSÉ CARDOSO PIRES,Nicole Sousa,,,,,
2302,01/05/2022,16:00,CNFJUN,D,MTORRES - MARINHE,PAV. ESC. SEC. MADEIRA TORRES,Nicole Sousa,,,,,
1593,30/04/2022,11:00,CNFINF,E,CVOEIRAS - LUSOFVC,MUN. S. JULIÃO DA BARRA-OEIRAS,Pedro Mouta,,,,,
1572,01/05/2022,12:00,CNFInf,D,MARISTA - CRPIEDE,PAV. EXTERNATO DOS MARISTAS,Pedro Mouta,,,,,
2607,30/04/2022,19:00,NSMI,CN (2ºjogo),SLBENFI - SCPORT.,PAV. Nº2 - ESTÁDIO SLB,PEDRO PINTO,LUIS MEIRELES,Madalena Ralha,Nicole Sousa,André Correia,Hugo Cruz
1268,30/04/2022,11:30,CNFJUNB,SU,A_V_P_S - CFBELEN,PAV. MUN.JOÃO SANTOS-SETÚBAL,Ricardo Madeira,,,,,
2602,30/04/2022,15:00,NSFI,#4 (3ºjogo),SCPORT. - SLBENFI,PAV. JOÃO ROCHA - LISBOA,RUI REIS,SANDRA DEVEZA,Marta Ralha,Hugo Cruz,,
1592,30/04/2022,15:00,CNFINF,E,MADTORRES - LOBATOS,PAV. ESC. SEC. MADEIRA TORRES,Samuel Patrão,,,,,
1694,30/04/2022,17:00,CNFINIC,C,MADTORRES - SOMARINH,PAV. ESC. SEC. MADEIRA TORRES,Samuel Patrão,,,,,
2303,01/05/2022,15:00,CNFJuv,D,gc sines - MTBA,Pav. Grupo MTBA,Samuel Patrão,,,,,
1486,01/05/2022,17:30,NSFIII,SP,CARRUPE - JUVE SC,PAV. COL. PEDRO ARRUPE,SANDRA DEVEZA,,,,,
2591,01/05/2022,16:00,NJM-B,POFF Acesso F.F.,C VOLEI - VC VIANA,PAV. ESC. BI SOPHIA MELLO BREYNER,Sofia Costa,,,,,
2055,30/04/2022,14:30,CNMJuv,D,VC_SETU - SCPORT.,PAV. MUN. ARANGUÊS,ValÉria Munteanu,,,,,
1715,01/05/2022,11:00,CNFINIC,D,CSJBRITO - LOBATOS,PAV. COL. S.JOÃO BRITO,Valéria Munteanu,,,,,
